lop	tiet	GV1001	GV1002	GV1003	GV1004	GV1005	GV1006	GV1007	GV1008	GV1009	GV1010	GV1011	GV1012	GV1013	GV1015	GV1016	GV1017	GV1018	GV1019	GV1020	GV1021	GV1022	GV1023	GV1024	GV1025	GV1026	GV1027	GV1028	GV1029	GV1030	GV1031	GV1032	GV1033	GV1034	GV1035	GV1036	GV1037	GV1038	GV1039	GV1040	GV1041	GV1042	GV1043	GV1044	GV1045	GV1046	GV1047	GV1048	GV1049	GV1050	GV1051	GV1052	GV1053	GV1054	GV1056	GV1057	GV1058	GV1059	GV1060	GV1061	GV1062	GV1063	GV1064	GV1065	GV1066	GV1067	GV1068	GV1069	GV1070	GV1071	GV1073	GV1074	GV1076	GV1077	GVNN01	GVNN02	GVNN03
6	1	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Toan - 10N	Van - 12B	Van - 10E	 - 	 - 	Van - 11T	 - 	Van - 12A	 - 	 - 	Van - 11N	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 12K	 - 	Ly - 11A	CN - 12H	 - 	Ly - 11M	 - 	 - 	 - 	Hoa - 11H	Hoa - 11B	Hoa - 12N	Hoa - 11E	 - 	CN - 10G	 - 	 - 	 - 	 - 	Su - 10H	Su - 12E	 - 	Su - 10D	Dia - 11Q	Dia - 10K	Dia - 10M	 - 	GDCD - 11G	GDCD - 11P	 - 	TD - 12M	TD - 12C	TD - 12G	QP - 11D	QP - 12D	 - 	 - 	Tin - 11C	 - 	CN - 11K	 - 	 - 	 - 	AVNN - 10A	AVNN - 10B	AVNN - 10C	
6	2	 - 	 - 	 - 	 - 	 - 	 - 	Toan - 11K	 - 	 - 	Toan - 10N	Van - 12B	Van - 12N	 - 	 - 	Van - 11T	 - 	Van - 12A	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 11P	Ly - 10A	Ly - 11E	 - 	Hoa - 12D	Hoa - 11N	Hoa - 11M	Hoa - 11G	Hoa - 10E	 - 	 - 	CN - 10M	 - 	 - 	 - 	 - 	Su - 12K	Su - 10K	 - 	Su - 11B	Dia - 11C	Dia - 10H	Dia - 10G	 - 	GDCD - 11Q	GDCD - 11D	 - 	TD - 12M	TD - 12C	TD - 12G	QP - 11A	QP - 12E	 - 	Tin - 10D	 - 	Tin - 12H	CN - 11H	 - 	 - 	 - 	 - 	AVNN - 10B	AVNN - 10C	
6	3	 - 	 - 	Toan - 12G	 - 	 - 	 - 	Toan - 12B	 - 	 - 	Toan - 11E	 - 	 - 	 - 	 - 	Van - 10B	 - 	Van - 12E	Van - 12C	 - 	Van - 11G	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 10M	 - 	 - 	CN - 12D	 - 	Ly - 11B	Ly - 12M	Hoa - 10A	Hoa - 11A	Hoa - 11M	Hoa - 12K	Hoa - 10E	Hoa - 10H	 - 	 - 	 - 	 - 	 - 	Su - 11T	Su - 10G	 - 	 - 	Su - 11P	Dia - 11D	Dia - 10C	 - 	 - 	GDCD - 11C	 - 	 - 	TD - 12N	TD - 12A	TD - 12H	QP - 11Q	QP - 10D	 - 	 - 	Tin - 11H	 - 	CN - 11N	 - 	 - 	 - 	AVNN - 10N	AVNN - 10K	AVNN - 11K	
6	4	 - 	 - 	Toan - 12G	 - 	 - 	 - 	Toan - 12B	 - 	 - 	Toan - 11H	Van - 12M	 - 	 - 	 - 	Van - 10B	 - 	 - 	 - 	 - 	Van - 11G	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	CN - 12K	Ly - 10D	Ly - 11K	Ly - 12D	Ly - 10G	 - 	Ly - 11C	Hoa - 10N	 - 	 - 	 - 	 - 	Hoa - 10H	 - 	CN - 10E	 - 	 - 	 - 	 - 	Su - 12C	 - 	 - 	 - 	Dia - 11A	Dia - 12E	 - 	GDCD - 10M	GDCD - 11N	GDCD - 11B	 - 	TD - 12N	TD - 12A	TD - 12H	QP - 11M	QP - 10A	 - 	Tin - 10C	Tin - 11E	Tin - 10K	CN - 11D	 - 	 - 	Ly - 11T	AVNN - 11Q	 - 	AVNN - 11P	
6	5	 - 	 - 	Toan - 10C	 - 	 - 	 - 	Toan - 12E	 - 	 - 	 - 	Van - 12M	 - 	 - 	 - 	Van - 11K	 - 	Van - 11P	Van - 10N	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 10E	CN - 12G	Ly - 10K	Ly - 11G	Ly - 10G	Ly - 12C	 - 	Hoa - 10D	 - 	Hoa - 11D	 - 	Hoa - 12B	Hoa - 10M	 - 	CN - 10H	 - 	 - 	 - 	Su - 11C	Su - 12D	Su - 12N	 - 	Su - 11N	 - 	Dia - 10A	 - 	GDCD - 12A	GDCD - 11A	 - 	 - 	 - 	 - 	 - 	QP - 11T	QP - 12H	 - 	Tin - 10B	 - 	Tin - 12K	CN - 11B	 - 	 - 	Ly - 11Q	AVNN - 11M	AVNN - 11H	AVNN - 11E	
7	1	Toan - 12C	Toan - 10G	Toan - 10A	Toan - 11B	Toan - 11C	Toan - 11G	 - 	 - 	 - 	Toan - 10N	 - 	 - 	 - 	Van - 12K	 - 	 - 	Van - 11P	 - 	 - 	 - 	Anh - 12E	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 10H	Ly - 12G	 - 	 - 	 - 	 - 	CN - 12M	 - 	Hoa - 11N	 - 	 - 	 - 	Hoa - 10M	Sinh - 11H	Sinh - 10B	Sinh - 11K	Sinh - 11Q	Sinh - 11E	Su - 11D	 - 	 - 	 - 	 - 	Dia - 12D	Dia - 10E	Dia - 10D	GDCD - 10K	GDCD - 12N	GDCD - 10C	 - 	 - 	TD - 12B	 - 	QP - 12A	QP - 12H	 - 	 - 	Tin - 11M	 - 	 - 	Tin - 11A	 - 	Ly - 11T	 - 	 - 	 - 	
7	2	Toan - 12C	Toan - 10K	Toan - 12K	 - 	Toan - 12H	Toan - 11N	 - 	 - 	 - 	Toan - 10H	 - 	 - 	Van - 10D	 - 	 - 	 - 	 - 	 - 	Van - 11D	 - 	Anh - 12M	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 10C	 - 	 - 	 - 	 - 	Ly - 11H	 - 	Hoa - 11A	 - 	 - 	 - 	Hoa - 11P	Sinh - 12E	CN - 10A	Sinh - 11G	Sinh - 11M	Sinh - 10E	Su - 11E	 - 	Su - 12A	Su - 10M	 - 	Dia - 12G	Dia - 12N	Dia - 11T	 - 	GDCD - 12D	GDCD - 10N	 - 	 - 	TD - 12B	 - 	QP - 11C	QP - 10B	 - 	 - 	Tin - 11K	Tin - 10G	 - 	Tin - 11B	 - 	Ly - 11Q	 - 	 - 	 - 	
7	3	 - 	 - 	 - 	Toan - 12A	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 12D	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 12E	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 12N	 - 	Sinh - 12G	 - 	 - 	 - 	 - 	Su - 12H	 - 	 - 	 - 	 - 	 - 	GDCD - 12B	 - 	 - 	 - 	 - 	 - 	 - 	QP - 12C	QP - 12K	 - 	 - 	 - 	Tin - 12M	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
7	4	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	CN - 12B	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
7	5	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
