lop	tiet	12A	12B	12C	12D	12E	12G	12H	12K	12M	12N	10A	10B	10C	10D	10E	10G	10H	10K	10M	10N	11A	11B	11C	11D	11E	11G	11H	11K	11M	11N	11P	11Q	11T
6	1	Van - GV1018	Van - GV1011	TD - GV1064	QP - GV1067	Su - GV1052	TD - GV1065	CN - GV1035	Van - GV1015	TD - GV1063	Dia - GV1057	AVNN - GVNN01	Ly - GV1034	Su - GV1053	Su - GV1054	Tin - GV1069	CN - GV1046	Tin - GV1071	GDCD - GV1059	AVNN - GVNN03	Toan - GV1010	Van - GV1013	Hoa - GV1042	Tin - GV1070	QP - GV1066	Hoa - GV1044	GDCD - GV1060	Hoa - GV1041	CN - GV1073	Ly - GV1037	AVNN - GVNN02	GDCD - GV1061	Dia - GV1056	Van - GV1016	
6	2	Van - GV1018	Van - GV1011	TD - GV1064	Hoa - GV1039	QP - GV1067	TD - GV1065	Tin - GV1071	Su - GV1051	TD - GV1063	Van - GV1012	Su - GV1053	AVNN - GVNN02	AVNN - GVNN03	Tin - GV1069	Toan - GV1001	GDCD - GV1059	Dia - GV1057	Su - GV1052	CN - GV1046	Toan - GV1010	QP - GV1066	Su - GV1054	Dia - GV1056	GDCD - GV1061	Ly - GV1037	Hoa - GV1042	CN - GV1073	Hoa - GV1044	Hoa - GV1041	Ly - GV1034	Ly - GV1035	Toan - GV1007	Van - GV1016	
6	3	TD - GV1064	Toan - GV1007	Toan - GV1001	Van - GV1015	GDCD - GV1059	Tin - GV1071	TD - GV1065	Hoa - GV1042	Ly - GV1038	TD - GV1063	Hoa - GV1039	Toan - GV1008	Ly - GV1033	QP - GV1067	Hoa - GV1043	Su - GV1051	Hoa - GV1044	AVNN - GVNN02	Ly - GV1032	AVNN - GVNN01	Hoa - GV1040	Ly - GV1037	GDCD - GV1060	Dia - GV1056	GDCD - GV1061	Ly - GV1035	Tin - GV1070	Ly - GV1034	Hoa - GV1041	CN - GV1073	Su - GV1054	Su - GV1053	Toan - GV1006	
6	4	TD - GV1064	Toan - GV1007	Hoa - GV1042	GDCD - GV1060	Dia - GV1057	Tin - GV1071	TD - GV1065	Ly - GV1032	Su - GV1051	TD - GV1063	QP - GV1067	Toan - GV1008	Tin - GV1069	Toan - GV1009	Van - GV1012	Van - GV1011	Hoa - GV1044	Hoa - GV1041	GDCD - GV1059	Hoa - GV1039	AVNN - GVNN02	Toan - GV1004	Ly - GV1038	Van - GV1020	Su - GV1050	Toan - GV1006	Su - GV1053	Ly - GV1034	QP - GV1066	Tin - GV1070	AVNN - GVNN03	AVNN - GVNN01	Ly - GV1077	
6	5	Toan - GV1004	Hoa - GV1043	Ly - GV1037	CN - GV1035	Toan - GV1007	CN - GV1033	GDCD - GV1059	Tin - GV1071	Hoa - GV1040	Su - GV1052	Dia - GV1057	Tin - GV1069	QP - GV1067	Hoa - GV1039	Ly - GV1032	Van - GV1011	Van - GV1020	Ly - GV1034	Hoa - GV1044	GDCD - GV1061	GDCD - GV1060	Dia - GV1056	Su - GV1050	CN - GV1073	Tin - GV1070	Su - GV1054	AVNN - GVNN02	Su - GV1053	Toan - GV1009	Toan - GV1006	Van - GV1018	Ly - GV1077	QP - GV1066	
7	1	Dia - GV1057	TD - GV1064	Tin - GV1068	Dia - GV1056	Anh - GV1022	Ly - GV1033	QP - GV1067	Tin - GV1071	CN - GV1038	GDCD - GV1060	Toan - GV1003	Anh - GV1031	Van - GV1017	Dia - GV1058	Su - GV1053	Toan - GV1002	Ly - GV1032	Ly - GV1034	Hoa - GV1044	Toan - GV1010	Tin - GV1074	Hoa - GV1042	CN - GV1073	Ly - GV1035	AVNN - GVNN03	AVNN - GVNN01	Sinh - GV1045	Sinh - GV1047	Anh - GV1024	Hoa - GV1040	Toan - GV1009	Anh - GV1027	Anh - GV1025	
7	2	Su - GV1052	TD - GV1064	Tin - GV1068	Su - GV1051	Sinh - GV1045	Hoa - GV1042	Ly - GV1035	CN - GV1032	Anh - GV1022	Toan - GV1001	Anh - GV1024	QP - GV1067	Toan - GV1003	Ly - GV1033	Dia - GV1057	Dia - GV1058	Toan - GV1010	Toan - GV1002	Su - GV1053	AVNN - GVNN01	Ly - GV1034	Tin - GV1074	Hoa - GV1040	Anh - GV1027	Dia - GV1056	Sinh - GV1047	Ly - GV1038	AVNN - GVNN03	Toan - GV1009	Van - GV1021	Hoa - GV1044	Sinh - GV1048	CN - GV1073	
7	3	Sinh - GV1048	Su - GV1051	Sinh - GV1045	Ly - GV1035	Hoa - GV1040	GDCD - GV1060	Su - GV1052	QP - GV1067	Tin - GV1071	Toan - GV1001	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
7	4	 - 	CN - GV1038	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
7	5	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
